Municipality,ST,2024 estimate,2020 census,2020 land area mi2,2020 density mi2,Type,lat,long
Lynn,MA,103489,101253,10.7,9463,City,42.47,-70.96
Quincy,MA,103434,101636,16.6,6123,City,42.26,-71.01
El Cajon,CA,103291,106215,14.5,7325,City,32.8,-116.96
Fayetteville,AR,103134,93949,54.1,1737,City,36.07,-94.17
Suffolk,VA,103105,94324,399.2,236,City,36.7,-76.63
San Mateo,CA,103006,105661,12.1,8732,City,37.56,-122.31
Chico,CA,102911,101475,34.1,2976,City,39.76,-121.82
Inglewood,CA,102774,107762,9.1,11842,City,33.96,-118.34
Wichita Falls,TX,102372,102316,72,1421,City,33.91,-98.53
Boca Raton,FL,102238,97422,29.2,3336,City,26.37,-80.1
Hesperia,CA,101836,99818,72.7,1373,City,34.4,-117.32
Daly City,CA,101418,104901,7.6,13803,City,37.69,-122.47
Clinton,MI,101359,100513,28,3590,City,42.59,-82.92
Georgetown,TX,101344,67176,57.3,1172,City,30.67,-97.7
New Bedford,MA,101318,101079,20,5054,City,41.66,-70.94
Albany,NY,101317,99224,21.4,4637,State capital,42.67,-73.8
Davenport,IA,100938,101724,63.8,1594,City,41.56,-90.6
Plantation,FL,100694,91750,21.8,4209,City,26.13,-80.26
Deltona,FL,100513,93692,37.3,2512,City,28.91,-81.21
Federal Way,WA,100252,101030,22.3,4530,City,47.31,-122.34
San Angelo,TX,100159,99893,59.7,1673,City,31.44,-100.45
Tracy,CA,100136,93000,25.9,3591,City,37.73,-121.45
Sunrise,FL,100128,97335,16.2,6008,City,26.17,-80.26
