Name,Category,Description,lat,long,InfoURL,ImageURL
"Eureka, CA",Road Trip,"Started at my friend's place in Arcata, CA. There was a lot of fun farmers markets and coastal trails in Eureka that I remember having a great time at. ",40.86817083,-123.9762176,"https://en.wikipedia.org/wiki/Eureka,_California",Pics coming soon!
"Mt. Shasta, CA",Road Trip,Spent some time at Lake Shasta. ,41.33035958,-122.3263942,https://en.wikipedia.org/wiki/Mount_Shasta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/MtShasta_aerial.JPG/500px-MtShasta_aerial.JPG
"Portland, OR",Road Trip,"As a major in city in Oregon, we had to stop here! This city had some of the most unique food combinations I've had in my life. All of it 5 stars!",45.51453726,-122.6779768,"https://en.wikipedia.org/wiki/Portland,_Oregon",Pics coming soon!
"Capitol Hill, Seattle, WA",Road Trip,There was an AirBnB in Cap. Hill that served as a fantastic center point for seeing the city.,47.624229,-122.3230657,"https://en.wikipedia.org/wiki/Capitol_Hill,_Seattle",Pics coming soon!
Craters of the Moon National Monument & Preserve,Road Trip,Camped at the Robert Limbert Visitor Center. Great place to hike through sprawling lava fields.,43.46558626,-113.5598751,https://en.wikipedia.org/wiki/Craters_of_the_Moon_National_Monument_and_Preserve,Pics coming soon!
"Palisades, ID",Road Trip,There was a fun little canvas glamping (glamourous camping) AirBnB somewhere in an RV park near here. Our shelter proveded a great space to experience a lightningstorm passing over. ,43.36373795,-111.2298444,https://www.recreation.gov/gateways/1250,Pics coming soon!
"Victor, ID",Road Trip,"There was a hotel/motel here that we had to stay at after not finding a camp-ground at the Tetons. It was a pretty nice area, but the main POI was Yellowstone/the Grand Tetons so not much time was spent here.",43.60293963,-111.1115354,"https://en.wikipedia.org/wiki/Victor,_Idaho",https://imgs.search.brave.com/DFQwhhX2vkMErjEcTNWRs4t5spKUKdfLXwGK0Mcp7fw/rs:fit:500:0:1:0/g:ce/aHR0cHM6Ly93d3cu/c2h1dHRlcnN0b2Nr/LmNvbS9pbWFnZS1w/aG90by92aWN0b3It/aWRhaG8tanVuZS0y/OC0yMDE3LTI2MG53/LTY4MzYyMzU2Ny5q/cGc
"Valmont, CO",Road Trip,"I lived in this area for almost three years after my first year in graduate school. My housemate and I went on a road trip to visit our friend in Seattle, WA.",40.03010283,-105.2400093,"https://en.wikipedia.org/wiki/Valmont,_Colorado",Pics coming soon!
"Moab, UT",Road Trip,"My house mate and I met a buddy out here on our way out to Seattle. We stayed at a rather charming motel before making the journey to Twin Falls, ID.",38.57356833,-109.5507522,"https://en.wikipedia.org/wiki/Moab,_Utah",Pics coming soon!
"Twin Falls, ID",Road Trip,Spent a brief amount of time here on various trips to and from Seattle.,42.63170198,-114.4607466,"https://en.wikipedia.org/wiki/Twin_Falls,_Idaho",Pics coming soon!
"Bend, OR",Road Trip,"My housemate had a co-worker/friend living in Bend, OR. We stayed ay their house for a day or so and breifly toured the town.",44.05739275,-121.3150214,"https://en.wikipedia.org/wiki/Bend,_Oregon",Pics coming soon!
"Beacon Hill, Seattle",Road Trip,The final destination of road trip 3!,47.55286944,-122.3020662,"https://en.wikipedia.org/wiki/Beacon_Hill,_Seattle",Pics coming soon!
Integrating Machine Learning and Geostatistics for High-Resolution Surface Ozone Mapping: A Case Study in Arizona,GIS Analysis,I wrote a thesis depicting the movement of surface ozone at a high resolution. I selected this area due to shared interest with my advisor and it's meteorological trends over time. ,32.87576712,-111.6928731,,
